Team,Year,Wins,Losses,win%,Arena,Location,Capacity
Vancouver Canucks,1997,25,43,0.36764705882352944,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1997,40,30,0.5714285714285714,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,1998,35,34,0.5072463768115942,Honda Center,"Anaheim, California",17174
Boston Bruins,1998,39,30,0.5652173913043478,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1998,37,28,0.5692307692307692,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1998,30,40,0.42857142857142855,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,1998,34,30,0.53125,PNC Arena,"Raleigh, North Carolina",18680
Chicago Blackhawks,1998,29,41,0.4142857142857143,United Center,"Chicago, Illinois",19717
Colorado Avalanche,1998,44,28,0.6111111111111112,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,1998,51,19,0.7285714285714285,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,1998,43,32,0.5733333333333334,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1998,33,37,0.4714285714285714,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,1998,30,34,0.46875,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,1998,32,45,0.4155844155844156,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1998,32,39,0.4507042253521127,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,1998,28,47,0.37333333333333335,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,1998,47,24,0.6619718309859155,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1998,24,48,0.3333333333333333,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1998,24,48,0.3333333333333333,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1998,33,38,0.4647887323943662,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,1998,44,23,0.6567164179104478,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,1998,37,26,0.5873015873015873,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,1998,38,30,0.5588235294117647,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,1998,31,33,0.484375,SAP Center,"San Jose, California",17562
St. Louis Blues,1998,37,32,0.5362318840579711,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,1998,19,54,0.2602739726027397,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,1998,45,30,0.6,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,1998,23,47,0.32857142857142857,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1998,31,45,0.40789473684210525,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,1999,34,33,0.5074626865671642,Honda Center,"Anaheim, California",17174
Boston Bruins,1999,24,33,0.42105263157894735,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1999,35,32,0.5223880597014925,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1999,31,36,0.4626865671641791,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,1999,37,35,0.5138888888888888,PNC Arena,"Raleigh, North Carolina",18680
Chicago Blackhawks,1999,33,37,0.4714285714285714,United Center,"Chicago, Illinois",19717
Colorado Avalanche,1999,42,28,0.6,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,1999,43,23,0.6515151515151515,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,1999,48,22,0.6857142857142857,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1999,32,26,0.5517241379310345,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,1999,43,27,0.6142857142857143,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,1999,39,27,0.5909090909090909,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1999,35,34,0.5072463768115942,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,1999,28,40,0.4117647058823529,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,1999,45,24,0.6521739130434783,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1999,24,48,0.3333333333333333,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1999,24,48,0.3333333333333333,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1999,29,38,0.43283582089552236,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,1999,41,28,0.5942028985507246,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,1999,45,22,0.6716417910447762,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,1999,37,31,0.5441176470588235,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,1999,35,30,0.5384615384615384,SAP Center,"San Jose, California",17562
